target,location,season,calendar_week,CU_EAKFC_SEIRS,CU_EAKFC_SIRS,CU_EKF_SEIRS,CU_EKF_SIRS,CU_RHF_SEIRS,CU_RHF_SIRS,CUBMA,Delphi_BasisRegression,Delphi_EmpiricalFutures,Delphi_EmpiricalTrajectories,Delphi_ExtendedDeltaDensity,Delphi_MarkovianDeltaDensity,Delphi_Uniform,FluOutlook_Mech,FluOutlook_MechAug,FluX_ARLR,FluX_LSTM,LANL_DBMplus,Protea_Cheetah,Protea_Kudu,Protea_Springbok,ReichLab_kcde_backfill_none,ReichLab_kcde_backfill_post_hoc,ReichLab_kde,ReichLab_sarima_seasonal_difference_FALSE,ReichLab_sarima_seasonal_difference_TRUE,UA_EpiCos
1 wk ahead,HHS Region 1,2011/2012,46,0.75,0.75,0.75,0.75,0.75,0.75,1.96122503405766e-06,0.0609524784,0.23979548,0.16683497,0.07085042437,0.07085042437,0.053435116,0.06486437,0.09604592,0.30409097,0.34124761,0.0026691544,0.142075372345,0.1474447105,0.142,0.00768,0.00748,0.32148850794,0.4985,0.4503,0.25884961
1 wk ahead,HHS Region 1,2011/2012,47,0.35,0.35,0.35,0.35,0.35,0.35,0.289120011,0.1151818488,0.21819949,0.15056513,0.1910091423,0.1910091423,0.045801528,0,0,0.27785317,0.32419173,0.0175151094,0.087480090092,0.0456976422,0.088,0.00018,0.00024,0.21636560994,0.3828,0.4123,0.25857356
1 wk ahead,HHS Region 1,2011/2012,48,0.44,0.44,0.44,0.44,0.44,0.44,0.37923807,0.0104784035,0.1842447,0.13991905,0.00335130831,0.00335130831,0.045801528,0,0,0.2512067,0.32419173,0.258172029,0.063937025434,0.058821186,0.064,9e-04,0.00076,0.19474877994,0.3491,0.3595,0.32040525
1 wk ahead,HHS Region 1,2011/2012,49,0.64,0.64,0.64,0.64,0.64,0.64,0.68398012,0.958742232,0.33326356,0.16090118,0.98332221,0.98332221,0.061068704,0.99999985,1,0.35299525,0.47449245,0.9286030942,0.396027802132,0.1209987163,0.41,0.04812,0.0486,0.29552857294,0.648,0.5972,0.52076735
1 wk ahead,HHS Region 1,2011/2012,50,0.62,0.62,0.62,0.62,0.62,0.62,0.45473319456,0.6811927521,0.31772202,0.1602968,0.65097329405,0.65097329405,0.068702292,0.4587197,0.1076138,0.41931683,0.4879886,0.3960302498,0.458874287278,0.2398748414,0.47,0.04588,0.04434,0.31329582634,0.5844,0.4264,0.37766886
1 wk ahead,HHS Region 1,2011/2012,51,0.62,0.62,0.62,0.62,0.62,0.62,0.38921262539,0.0897826852,0.286019,0.16239829,0.06592539549,0.06592539549,0.07633588,0.7455443,0.17595403,0.41762267,0.49768663,0.9869644464,0.553912789916,0.15852267292,0.574,0.07642,0.07414,0.31902082154,0.5918,0.4316,0.30937402
1 wk ahead,HHS Region 1,2011/2012,52,0.59,0.59,0.59,0.59,0.59,0.59,0.51672363213181,0.0019943541,0.27893444,0.16070704,0.000187152098,0.000187152098,0.068702292,0.26398605,0.0258267,0.30407247,0.299974747,0.0659959556,0.11610007771,0.157432652,0.114,0.01678,0.01582,0.23087552654,0.3168,0.4762,0.05617017
1 wk ahead,HHS Region 1,2012/2013,1,0.34,0.34,0.34,0.34,0.34,0.34,0.831435379744,0.0071966028,0.083910752,0.729608749,0.00074629069,0.00074629069,0.251908404,0.53773167606,0.7905069755,0.819724986,0.831819864,0.2164960032,0.2986805098654,0.92120394,0.298,0.4071,0.41322,0.87128614974,0.8601,0.8103,0.95401002
1 wk ahead,HHS Region 1,2012/2013,2,0.35,0.35,0.35,0.35,0.35,0.35,0.41282054918902,0.5829017611,0.494508195,0.766450277,0.63709899693,0.63709899693,0.22900764,0.823618956,0.9283688229,0.4618291473,0.714892644,0.977708245,0.40264017447152,0.98853547914,0.402,0.26056,0.25818,0.81640508874,0.5585,0.5661,0.94024053
1 wk ahead,HHS Region 1,2012/2013,3,0.35,0.35,0.35,0.35,0.35,0.35,0.143618342793,0.953354387,0.708035351,0.73473328,0.99739178176,0.99739178176,0.1908397,0.715220979,0.933108617,0.437120999,0.655666607,0.8622592794,0.3466914262648,0.9795835124,0.346,0.0827,0.08126,0.70308952188,0.4909,0.4458,0.87524408
